ruc,razon_social,ciiu,ventas_netas,activo_total,pasivo_total,patrimonio,utilidad_neta,coherente
1709688653001,DELICIOUS S.A. 1794,0121,7542354.72,7667301.04,4166859.686543435,3500441.353456565,864270.86,TRUE
1726498912001,AGROEXPORT S.A. 2861,4630,16325167.89,14829566.63,6637629.392593539,8191937.2374064615,559503.31,TRUE
1798648173001,ANDES S.A. 5136,4630,6554709.88,9762774.12,5808557.605884048,3954216.514115951,822225.65,TRUE
1780865289001,AMAZONIC S.A. 3829,4630,4374687.71,6309263.95,3779678.0143954214,2529585.935604579,673491.12,TRUE
1782846606001,PACIFIC S.A. 2100,0122,1435968.36,1851319.54,1213692.5224878488,637627.0175121513,211575.2,TRUE
1792310685001,PACIFIC S.A. 4674,0125,1888898.88,1702742.48,920199.1333227134,782543.3466772866,216288.49,TRUE
1718588848001,AMAZONIC S.A. 3042,0125,6280525.68,6390677.89,3734955.6883278503,2655722.2016721494,601438.56,TRUE
1795230455001,ANDES S.A. 5969,0125,16277147.01,13369063.59,8234743.021244917,5134320.568755083,1851823.33,TRUE
1767495001001,DELICIOUS S.A. 3686,0121,1095991.08,1081987.51,653638.0355017759,428349.4744982241,134885.99,TRUE
1783475902001,DELICIOUS S.A. 6844,4630,16074363.9,14643155.54,6136858.225063665,8506297.314936334,1588401.88,TRUE
1720182040001,DELICIOUS S.A. 5604,0121,32790879.44,35351238.4,19024940.6100857,16326297.789914299,1616444.78,TRUE
1797532677001,AGROEXPORT S.A. 1699,0121,13356826.74,16110059.82,7258318.698320275,8851741.121679725,743556.46,TRUE
1791283895001,AGROEXPORT S.A. 2131,0125,1685866.28,2163645.26,1076816.6384358222,1086828.6215641776,131084.07,TRUE
1707902463001,AMAZONIC S.A. 4539,0125,2791330.26,3414725.83,2067877.7606161349,1346848.0693838652,186537.07,TRUE
1720572454001,AMAZONIC S.A. 4453,4630,2049515.63,2832368.56,1610148.009897626,1222220.550102374,201191.54,TRUE
1777398316001,AGROEXPORT S.A. 2353,0121,5709555.92,6016359.62,4188716.293989021,1827643.3260109792,542791.19,TRUE
1721629356001,TROPICAL S.A. 6876,0121,2344953.51,2092483.11,935273.3388796527,1157209.7711203475,191695.12,TRUE
1732761013001,AMAZONIC S.A. 1163,0125,705497.41,919618.73,643012.9320263185,276605.7979736815,115659.55,TRUE
1703468593001,AGROEXPORT S.A. 3654,0122,5068075.65,7577605.81,4440545.065741046,3137060.7442589533,1079361.74,TRUE
1742194813001,ANDES S.A. 7805,4630,6700464.42,8419189.51,4304221.362162504,4114968.1478374954,1224793.25,TRUE
1728652548001,ANDES S.A. 2731,4630,5478708.98,5315803.29,2416097.1907502133,2899706.0992497867,534993.9,TRUE
1762564667001,PACIFIC S.A. 3938,0125,27805560.62,28310906.69,17485386.547249414,10825520.142750587,3810633.9,TRUE
1793082651001,FRUTICOLA S.A. 6734,0121,16350380.83,18357442.25,10440529.568754045,7916912.681245955,734754.16,TRUE
1786541698001,AMAZONIC S.A. 9202,0122,11531532.69,15212229.07,6684449.785537504,8527779.284462497,1330874.59,TRUE
1710630711001,ANDES S.A. 9792,0121,4959341.8,6996006.1,3661711.7573217466,3334294.342678253,332596.44,TRUE
1730082443001,AMAZONIC S.A. 3843,0125,1248163.25,1501367.87,845519.070977275,655848.7990227251,52829.22,TRUE
1709898263001,ECUAFRUT S.A. 5591,0121,992253.8,1218256.19,611860.2241920561,606395.9658079438,78105.26,TRUE
1720971245001,AGROEXPORT S.A. 1586,4630,5162395.95,4138607.17,2330053.47237159,1808553.69762841,138803.58,TRUE
1754261450001,DELICIOUS S.A. 4266,0121,20519627.52,20798593.47,9232306.194996785,11566287.275003213,1853055.18,TRUE
1727919657001,FRUTICOLA S.A. 1390,0122,8594101.02,11785634.56,5352129.543529708,6433505.016470293,597871.05,TRUE
1794211152001,AMAZONIC S.A. 8946,4630,3358830.17,3584754.59,1796516.3653762215,1788238.2246237784,308224.62,TRUE
1746681095001,ANDES S.A. 4101,4630,5198734.72,7677992.45,4511133.968827004,3166858.4811729966,618135.92,TRUE
1727255257001,AGROEXPORT S.A. 4081,4630,5865327.79,7678343.18,4293066.2353325365,3385276.944667463,817815.33,TRUE
1792489310001,DELICIOUS S.A. 3078,0125,1983238.91,2864714.01,1720662.9518060863,1144051.0581939134,183277.62,TRUE
1785264811001,DELICIOUS S.A. 7381,0122,9575380.06,10104265.28,5662216.40426568,4442048.875734319,897969.99,TRUE
1722781057001,AMAZONIC S.A. 9275,0122,21691341.23,24544081.69,14490129.736270012,10053951.953729989,1319692.47,TRUE
1757144094001,FRUTICOLA S.A. 1369,0122,6937450.76,6688868.42,4335220.564375016,2353647.855624984,922057.22,TRUE
1792128461001,FRUTICOLA S.A. 6444,0121,3932933.78,4207082.83,2725437.562471348,1481645.2675286522,241229.67,TRUE
1736610515001,AMAZONIC S.A. 8579,0122,27466332.94,28884688.96,13942086.191251803,14942602.768748198,2179240.95,TRUE
1744508567001,AGROEXPORT S.A. 5443,0121,42450756.21,53123787.15,35739919.72033963,17383867.429660365,4310188.83,TRUE
1742108602001,ANDES S.A. 8290,0121,7535101.31,6147202.6,3178327.306948537,2968875.2930514626,519609.36,TRUE
1742945062001,TROPICAL S.A. 6773,0121,7409774.6,6914573.55,3407245.9798499392,3507327.5701500606,559209.08,TRUE
1776691295001,ANDES S.A. 5897,0121,9675092.62,10264805.09,4697337.840267085,5567467.249732915,900500.62,TRUE
1714514384001,PACIFIC S.A. 7104,4630,195423.84,180713.01,74551.79869046544,106161.21130953457,7105.85,TRUE
1799800121001,AMAZONIC S.A. 8307,0125,9113200.62,10433885.45,4976966.930539051,5456918.519460948,1223590.14,TRUE
1757501980001,FRUTICOLA S.A. 4802,4630,798819.95,1184728.6,564439.3763894057,620289.2236105944,147582.47,TRUE
1754443369001,AGROEXPORT S.A. 3258,0121,13319268.14,15557542.51,8776409.896209393,6781132.613790607,1680228.05,TRUE
1779270420001,PACIFIC S.A. 7014,0122,2386686.23,3092567.53,1876026.214861971,1216541.3151380287,131299.97,TRUE
1796199930001,DELICIOUS S.A. 2026,0121,1106689.65,1282270.62,603961.3785946432,678309.2414053569,111761.52,TRUE
1740074646001,AMAZONIC S.A. 8883,0122,3680374.33,4857286.61,2712023.7001625984,2145262.909837402,210406.38,TRUE
1711072063001,FRUTICOLA S.A. 3717,0125,28435378.24,42328431.34,17434310.184820466,24894121.155179538,5830675.59,TRUE
1702601926001,AMAZONIC S.A. 9460,0121,1488510.81,1864615.87,1289860.1504219961,574755.719578004,232569.14,TRUE
1706377923001,ANDES S.A. 8927,0121,2553433.86,3602021.38,1763916.1296761709,1838105.250323829,338268.7,TRUE
1712984702001,TROPICAL S.A. 8389,0122,484628.73,420491.25,188017.3241643518,232473.9258356482,60248.91,TRUE
1796641039001,DELICIOUS S.A. 7601,0125,11845748.18,16221331.66,6761735.928111569,9459595.731888432,1345306.33,TRUE
1796147212001,DELICIOUS S.A. 6022,4630,2950342.31,2591219.7,1614410.1643533034,976809.5356466968,382306.01,TRUE
1721761859001,PACIFIC S.A. 2707,4630,2283723.35,2386141.36,1353143.108679901,1032998.2513200988,163551.63,TRUE
1766325918001,AMAZONIC S.A. 2527,0125,1308874.78,1910788.82,809547.1937829006,1101241.6262170994,189377.43,TRUE
1741188879001,AMAZONIC S.A. 8205,0125,8797346.66,11969519.94,7233209.643048251,4736310.296951748,596990.02,TRUE
1705836698001,ECUAFRUT S.A. 7274,4630,563918.62,490746.42,245111.54668966896,245634.87331033102,38946.59,TRUE
1770577534001,PACIFIC S.A. 5256,0125,2011221.04,2418702.73,1366893.8264652556,1051808.9035347444,83300.83,TRUE
1712945132001,PACIFIC S.A. 3296,0121,6378866,6078929.09,2663918.115328446,3415010.974671554,230339.3,TRUE
1717610822001,ECUAFRUT S.A. 6030,4630,2867362.88,3402495.94,1607105.9666646633,1795389.9733353367,502588.56,TRUE
1754229194001,TROPICAL S.A. 8406,0125,13218147.56,15218291.14,9877623.329804279,5340667.810195722,1526126.33,TRUE
1700085501001,PACIFIC S.A. 3625,0121,12183999.26,11583132.04,4952352.444631621,6630779.595368378,1005496.38,TRUE
1704722345001,AMAZONIC S.A. 9227,0122,4802512.67,5969421.13,3725333.4601218686,2244087.6698781312,276180.63,TRUE
1746988245001,DELICIOUS S.A. 6058,0122,4419346.62,4389442.57,1856796.000908243,2532646.5690917573,136058.51,TRUE
1796587516001,DELICIOUS S.A. 4608,0122,3571367.09,5004213.55,2827132.663983084,2177080.886016916,381282.92,TRUE
1747106258001,AMAZONIC S.A. 4686,0125,1177385.72,1386042.83,706249.8393718522,679792.9906281478,127152.13,TRUE
1754854307001,FRUTICOLA S.A. 2093,0121,26172643.89,32863389.07,14451171.649029039,18412217.42097096,2728101.86,TRUE
1781688513001,TROPICAL S.A. 5668,0125,19440308.67,28823336.5,13762610.825186735,15060725.674813265,2425152.34,TRUE
1737521523001,DELICIOUS S.A. 3681,0125,1273329.88,1214382.66,619884.0320366808,594498.6279633191,122177.58,TRUE
1717091113001,DELICIOUS S.A. 6353,0125,60746730.7,88224557.96,60687603.00114616,27536954.958853833,3548127.72,TRUE
1709653107001,AMAZONIC S.A. 9807,0122,7192379.85,8196218.67,4189420.605305718,4006798.064694282,338361.17,TRUE
1717942669001,ECUAFRUT S.A. 8642,0125,4175139.18,3698420.2,2448066.825909045,1250353.3740909551,448215.88,TRUE
1777268529001,AGROEXPORT S.A. 7587,0122,1099595.1,1076761.27,683712.3872511918,393048.88274880825,134166.44,TRUE
1782315885001,AGROEXPORT S.A. 7449,0121,1971120.8,2273366.31,1181581.7512174228,1091784.5587825773,144759.46,TRUE
1756255768001,AGROEXPORT S.A. 5847,4630,8527255.49,7352603.14,3013538.4224301125,4339064.717569888,617657.73,TRUE
1708819898001,DELICIOUS S.A. 9085,0125,3371005.95,4523276.53,2406693.913687905,2116582.6163120954,673015.74,TRUE
1773880262001,PACIFIC S.A. 1523,4630,1588995.85,1505830.75,865409.9455122522,640420.8044877478,220209.88,TRUE
1780410215001,FRUTICOLA S.A. 8703,0122,12076410.39,14066146.56,7039301.6743322555,7026844.885667745,2025286.45,TRUE
1742321419001,PACIFIC S.A. 9491,4630,52987385.52,59398020.12,35290978.5521352,24107041.567864798,8029493.58,TRUE
1781849015001,DELICIOUS S.A. 5873,0122,33042568.53,30041185.64,19435228.57369272,10605957.06630728,3727967.67,TRUE
1760669449001,TROPICAL S.A. 2416,0121,8828188.88,7975502.11,3343730.4591124407,4631771.65088756,1089943.9,TRUE
1728338362001,FRUTICOLA S.A. 2508,4630,3148719.32,4323792.82,2929576.6380380066,1394216.1819619937,549692.65,TRUE
1703846187001,FRUTICOLA S.A. 8016,0122,4612634.95,4234333.18,2409005.281640455,1825327.8983595446,607240.48,TRUE
1769759682001,PACIFIC S.A. 3647,0121,7572546.06,10368488.91,5692801.806311457,4675687.103688543,581543.06,TRUE
1776561004001,FRUTICOLA S.A. 3563,4630,4012627.57,4115747.4,2641394.118105094,1474353.281894906,512520.63,TRUE
1775359976001,FRUTICOLA S.A. 9602,0125,1859028.49,1918688.99,808161.670364375,1110527.319635625,229889.42,TRUE
1738287737001,AMAZONIC S.A. 7481,0121,854722.29,1067721.72,528749.5898493014,538972.1301506986,130549.7,TRUE
1763536695001,FRUTICOLA S.A. 9852,0121,9816823.94,14310462.68,8241774.59271304,6068688.087286959,2116649.8,TRUE
1768782496001,DELICIOUS S.A. 8303,0125,2825724.2,3251169.54,1804351.8970632015,1446817.6429367985,275701.02,TRUE
1709429701001,TROPICAL S.A. 5241,0122,3036759.84,3581465.17,1817202.1531582344,1764263.0168417655,469210.29,TRUE
1793020191001,ECUAFRUT S.A. 7436,4630,1042921.91,1410811.29,877622.071976276,533189.218023724,81729.74,TRUE
1713126376001,ECUAFRUT S.A. 1707,0121,10092050.78,9708665.65,5646662.416252273,4062003.2337477272,861685,TRUE
1766223676001,AMAZONIC S.A. 3003,0121,19256519.39,24098176.06,10209621.110410202,13888554.949589796,1310809.1,TRUE
1798071748001,ANDES S.A. 7116,0125,1814351.63,2573213.85,1249368.0855661146,1323845.7644338855,263482.36,TRUE
1788205823001,AMAZONIC S.A. 9808,4630,40707626.67,45175645.57,24363922.07051962,20811723.49948038,2455200.41,TRUE
1706460894001,DELICIOUS S.A. 8832,4630,2452363.09,2699847.37,1761905.0124800925,937942.3575199076,368886.54,TRUE
1795081869001,PACIFIC S.A. 3092,0125,2949157.65,4370314.79,1911381.2567151445,2458933.5332848555,229275.27,TRUE
1713520532001,PACIFIC S.A. 1223,0121,3488023.01,3924160.34,2148084.942767208,1776075.3972327919,228906.01,TRUE
1792001182001,AMAZONIC S.A. 9673,0125,8125495.98,9677206.61,4105503.8609131593,5571702.74908684,573445,TRUE
1723691117001,AMAZONIC S.A. 9092,0125,34115692.59,29075148.23,17423965.784866937,11651182.445133064,4014195.88,TRUE
1751658284001,TROPICAL S.A. 5888,0125,4362082.78,3720628.61,2561870.7602226133,1158757.8497773865,125779.51,TRUE
1785262786001,ANDES S.A. 5816,0121,4039571.31,5391080.7,3466212.461426788,1924868.2385732122,439919.31,TRUE
1734585695001,DELICIOUS S.A. 2706,0121,915975.19,1294169.77,683889.8013775621,610279.9686224379,162839.22,TRUE
1757681450001,AMAZONIC S.A. 5783,4630,3779466.43,3690589.26,2537038.642034602,1153550.617965398,214406.99,TRUE
1730355264001,TROPICAL S.A. 5311,0122,2223060.42,2530316.45,1491238.2566794585,1039078.1933205416,336611.98,TRUE
1778616622001,ANDES S.A. 7234,0125,9785631.27,10961865.02,6042986.010665064,4918879.009334936,1387003.71,TRUE
1728435152001,PACIFIC S.A. 8102,0121,15356616.21,13257980.02,6739384.760919012,6518595.259080987,1492080.17,TRUE
1729293578001,AMAZONIC S.A. 8850,0122,1708569.96,1586298.85,795951.8278514583,790347.0221485418,233877.48,TRUE
1726404706001,FRUTICOLA S.A. 8304,4630,4449415.92,4181933.64,2861998.2204313157,1319935.4195686844,527949.8,TRUE
1711181757001,PACIFIC S.A. 5426,0121,2324165.09,1883031.85,1091106.1050912489,791925.7449087512,244708.31,TRUE
1754603014001,PACIFIC S.A. 5392,0122,1490468.6,1430022.7,961467.1609791025,468555.5390208975,120908.57,TRUE
1777565347001,AMAZONIC S.A. 6225,0122,13461849.52,16269951.33,6701956.270151002,9567995.059848998,1506162.16,TRUE
1718088972001,ECUAFRUT S.A. 8648,0125,34994414.81,40452056.36,17075099.97679152,23376956.38320848,1881465.89,TRUE
1761515667001,AGROEXPORT S.A. 3694,0121,3608520.5,5065765.82,2319159.003400339,2746606.8165996615,342212.72,TRUE
1714198930001,PACIFIC S.A. 5708,4630,15089884.48,20361881.33,10090899.768119067,10270981.561880931,2769149.43,TRUE
1713447720001,TROPICAL S.A. 6408,0125,934229.73,1134412.35,549602.8664672688,584809.4835327313,123148.43,TRUE
1713523062001,ANDES S.A. 9649,0125,27379480.49,40984547.91,26867912.474657606,14116635.43534239,3676728.03,TRUE
1785479983001,AGROEXPORT S.A. 9512,4630,6535021.04,5624390.42,3111708.832507739,2512681.587492261,594712.62,TRUE
1750047491001,AGROEXPORT S.A. 6296,4630,5933223.44,8469655.03,5683640.969172052,2786014.060827947,1108390.29,TRUE
1790694561001,DELICIOUS S.A. 2191,4630,2343540.6,2998824.81,1348020.9918104012,1650803.8181895989,216389.6,TRUE
1756902151001,AMAZONIC S.A. 9609,0122,8047577.31,8923950.18,3812193.3775417195,5111756.802458281,1087152.28,TRUE
1797758805001,PACIFIC S.A. 9454,0125,1752036.66,1773014.69,1050008.6374858639,723006.0525141361,213078.04,TRUE
1772754314001,AGROEXPORT S.A. 2568,4630,14270781.29,18873394.38,12418637.6413416,6454756.738658398,2365194,TRUE
1793523327001,ANDES S.A. 7498,0125,413721.26,576054.91,238319.6178517488,337735.2921482512,40474.48,TRUE
1715082830001,AGROEXPORT S.A. 8793,4630,2410556.04,1948018.18,792623.5753355785,1155394.6046644214,107526.48,TRUE
1706958275001,PACIFIC S.A. 6374,4630,907593.27,1271341.68,647532.7907725944,623808.8892274055,127445.43,TRUE
1721719751001,ANDES S.A. 5953,4630,2072592.55,1726838.78,1111630.2457700425,615208.5342299575,96851.05,TRUE
1731180136001,FRUTICOLA S.A. 2118,0121,2117969.17,2100528.8,1397310.050618634,703218.7493813657,139757.01,TRUE
1771167746001,FRUTICOLA S.A. 2589,0121,1917236.29,1541971.27,669573.9574429687,872397.3125570313,80393.43,TRUE
1704414494001,ECUAFRUT S.A. 1265,0121,7468640.2,10557206.12,4616785.233632236,5940420.886367763,958530.78,TRUE
1710824308001,AMAZONIC S.A. 2880,4630,4683549.42,6419503.58,3205093.9089115737,3214409.6710884264,919478.41,TRUE
1758254388001,FRUTICOLA S.A. 8910,0122,3727852.36,4779319.81,2936597.8068650407,1842722.003134959,352859.42,TRUE
1773881883001,FRUTICOLA S.A. 9556,0125,2321771.25,3199374.96,1463503.6644237163,1735871.2955762837,180496.04,TRUE
1792179435001,PACIFIC S.A. 1400,0121,904271.75,1076135.75,455145.6725062513,620990.0774937486,133234.61,TRUE
1734741791001,PACIFIC S.A. 2200,0122,1718183.01,1860197.88,837137.7545371233,1023060.1254628766,242709.5,TRUE
1707673296001,AGROEXPORT S.A. 3302,0125,5029551.21,6224520.33,4115218.325752921,2109302.004247079,483320.06,TRUE
1764369597001,ANDES S.A. 8934,0121,311796.51,377882.15,189980.031759948,187902.11824005202,54092.65,TRUE
1718668850001,DELICIOUS S.A. 2505,0121,4168975.43,3341531.29,1944622.8531516963,1396908.4368483038,348841.32,TRUE
1717312247001,ECUAFRUT S.A. 7049,0125,14789976.11,18165843.43,10408359.781457191,7757483.648542808,565542.62,TRUE
1781275745001,PACIFIC S.A. 3154,0125,11372579.56,13497699.16,9213605.053949848,4284094.106050152,816763.19,TRUE
1703558689001,ECUAFRUT S.A. 8700,0122,4339763.34,5560348.29,3394362.9955756054,2165985.2944243946,339453.05,TRUE
1755940736001,ECUAFRUT S.A. 8857,0121,559508.8,597893.76,268415.7823679441,329477.97763205593,49429.41,TRUE
1750514287001,AGROEXPORT S.A. 4722,0122,5776576.11,7401971.38,4864217.597626969,2537753.7823730307,621125.05,TRUE
1763209704001,PACIFIC S.A. 4224,4630,51475615.46,67067904.51,34273300.964575924,32794603.545424074,5614898.97,TRUE
1736873862001,DELICIOUS S.A. 1183,0121,61828868.46,58814461.34,25035459.724037576,33779001.61596243,5432429.97,TRUE
1769589584001,AGROEXPORT S.A. 9716,0122,2684099.37,2942861.77,1758168.498167276,1184693.271832724,248032.63,TRUE
1789444403001,ANDES S.A. 3878,0121,3290384.45,3951201.25,1859047.7180330157,2092153.5319669843,151674.76,TRUE
1764270332001,DELICIOUS S.A. 6328,4630,1002458.29,1191781.24,627877.9204505557,563903.3195494442,45139.8,TRUE
1705441303001,TROPICAL S.A. 9383,0125,8446792.57,7419972.44,4460935.090395467,2959037.349604533,662874.18,TRUE
1777948947001,PACIFIC S.A. 5520,4630,1047797.07,1539627.34,765981.5831124934,773645.7568875067,182687.02,TRUE
1796931838001,AMAZONIC S.A. 8790,0121,1838282.16,2040690.67,1081263.586956746,959427.083043254,237892.88,TRUE
1729367438001,FRUTICOLA S.A. 7604,4630,19504024.98,17324507.43,11662029.384737704,5662478.045262296,2226864.83,TRUE
1776196255001,AGROEXPORT S.A. 8164,0121,14517267.13,16276984.62,6740761.381317896,9536223.238682102,2140296.25,TRUE
1777132469001,ECUAFRUT S.A. 6138,0125,16198456.97,19623521.17,11792414.234754618,7831106.9352453835,1095681.92,TRUE
1728278064001,ANDES S.A. 3985,4630,26657315.16,27179068.18,12043000.395065205,15136067.784934795,3797171.13,TRUE
1740100143001,AGROEXPORT S.A. 1744,0122,3458929.81,4685602.57,2877211.8478430603,1808390.72215694,501932.66,TRUE
1704951236001,ANDES S.A. 3858,4630,1560882.72,2035809.06,1262072.2074782152,773736.8525217848,87666.97,TRUE
1713485028001,TROPICAL S.A. 4392,0125,7553587.6,9808455.02,4398788.339176698,5409666.680823302,704431.41,TRUE
1725744763001,PACIFIC S.A. 3831,0122,6002384.88,6746833.3,3849929.498742544,2896903.8012574557,500038.39,TRUE
1752546344001,AMAZONIC S.A. 7960,0125,366714.57,408406.41,268669.72349803435,139736.68650196563,32382.7,TRUE
1700024195001,AGROEXPORT S.A. 3066,4630,5546229.03,4826230.82,2322514.237555207,2503716.582444793,285809,TRUE
1738957376001,ECUAFRUT S.A. 9421,4630,4945656.85,4386429.45,2766913.1317013316,1619516.3182986686,139867.63,TRUE
1712591567001,AMAZONIC S.A. 3779,0125,142355037.03,171615955.68,107080926.78313468,64535028.89686532,5168689.34,TRUE
1776234317001,ECUAFRUT S.A. 2202,0122,6624577.5,5966452.15,3989530.714301906,1976921.4356980943,478762.39,TRUE
